feature,mean_shap_Arunachal Pradesh,mean_abs_shap_Arunachal Pradesh,mean_shap_Assam,mean_abs_shap_Assam,mean_shap_Manipur,mean_abs_shap_Manipur,mean_shap_Meghalaya,mean_abs_shap_Meghalaya,mean_shap_Mizoram,mean_abs_shap_Mizoram,mean_shap_Nagaland,mean_abs_shap_Nagaland,mean_shap_Tripura,mean_abs_shap_Tripura,consistency_flag,max_mag_ratio
Power Supply For Domestic Use Winter (Oct.-March) per day (in Hours),-0.0019103934755548835,0.004095087759196758,-0.03808186203241348,0.05975610017776489,-0.0033043166622519493,0.014331570826470852,0.00010027671669377014,0.0001744772889651358,-6.040286098141223e-05,0.0003857982228510082,0.005744372960180044,0.014605823904275894,0.00016300917195621878,0.0003913579566869885,SIGN_FLIP,342.4864196777344
Power Supply For Agriculture Use (Status A(1)/NA(2)),-7.028656546026468e-05,8.856881322572008e-05,-0.0010112370364367962,0.001756084500811994,0.000822199450340122,0.000826593313831836,0.0,0.0,0.0,0.0,-6.488645158242434e-05,8.639913721708581e-05,0.0,0.0,SIGN_FLIP,17560844.0
Power Supply For Agriculture Use Summer (April-Sept.) per day (in Hours),6.537037552334368e-05,0.0038331649266183376,0.0034197145141661167,0.011998108588159084,0.0009255165350623429,0.0009391108178533614,-0.000245200062636286,0.000245200062636286,-0.0003705300041474402,0.0003705300041474402,-0.00013585954729933292,0.0007659262628294528,-0.0009407965117134154,0.0015016163233667612,SIGN_FLIP,48.931915283203125
Power Supply For Agriculture Use Winter (Oct.-March)per day (in Hours),0.01435130462050438,0.016090862452983856,-0.00023197235714178532,0.011506381444633007,0.00382833369076252,0.00382833369076252,0.0008760604541748762,0.0008760604541748762,0.0018802881240844727,0.0018802881240844727,0.010441262274980545,0.010989360511302948,-0.003309455933049321,0.0062645659781992435,SIGN_FLIP,18.36729621887207
Power Supply For Commercial Use (Status A(1)/NA(2)),0.0,0.0,0.00289722578600049,0.003705219831317663,-0.00021703301172237843,0.0006681355298496783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SIGN_FLIP,37052196.0
Power Supply For Commercial Use Summer (April-Sept.) per day (in Hours),-0.0009032079251483083,0.0009570636902935803,0.0003962605551350862,0.004512414336204529,-0.00026270808302797377,0.00033576643909327686,-8.759924094192684e-05,0.0001851057168096304,0.0,0.0,1.189826798508875e-05,0.0003621227515395731,0.0,0.0,SIGN_FLIP,45124144.0
Power Supply For Commercial Use Winter (Oct.-March) per day (in Hours),-0.0006896749255247414,0.0010454909643158317,0.0008876684005372226,0.00775977224111557,0.00016590792802162468,0.00016593038162682205,0.0,0.0,0.0,0.0,-0.00036898686084896326,0.0008758091134950519,0.0,0.0,SIGN_FLIP,77597720.0
Power Supply For All Users (Status A(1)/NA(2)),-0.0002215602871729061,0.0006253483006730676,-0.0020481105893850327,0.002500744303688407,-0.0006936151767149568,0.0007540233200415969,0.0,0.0,0.0,0.0,-0.0029572458006441593,0.003039754694327712,0.0,0.0,SIGN_FLIP,30397546.0
Power Supply For All Users Summer (April-Sept.) per day (in Hours),-0.003604422090575099,0.0037731612101197243,-0.0026088571175932884,0.011491966433823109,-0.00038669732748530805,0.0004163114062976092,0.0,0.0,0.0,0.0,-0.009607427753508091,0.010386997833848,0.0,0.0,SIGN_FLIP,114919664.0
Power Supply For All Users Winter (Oct.-March) per day (in Hours),3.8057904021115974e-05,0.0012573887361213565,0.01088136900216341,0.05242219567298889,-0.0023376639001071453,0.0023416592739522457,0.0,0.0,0.0,0.0,0.0005594200338236988,0.0007867348031140864,0.0,0.0,SIGN_FLIP,524221952.0
Wells/Tube Wells Area (in Hectares),0.0,0.0,-0.0077142189256846905,0.013315639458596706,-9.131239494308829e-05,9.16405551834032e-05,0.0,0.0,0.0,0.0,-0.0002501050475984812,0.0002501050475984812,0.0,0.0,SIGN_FLIP,133156392.0
Whether Drain water is discharged directly into water bodies or to sewar plant (For Water Bodies-1/Sewar Plants-2),-0.0012040510773658752,0.004406082909554243,-0.00397033104673028,0.04290322586894035,-0.0013210780452936888,0.0019324111053720117,-0.00030215669539757073,0.0012112606782466173,0.0,0.0,-0.00101002911105752,0.0024417731910943985,0.0,0.0,SIGN_FLIP,429032256.0
Waterfall Area (in Hectares),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CONSISTENT,0.0
Forest Area (in Hectares),-0.0008964017033576965,0.002118533942848444,-0.0024186966475099325,0.021602429449558258,-0.003613084787502885,0.0041235522367060184,0.0,0.0,0.0,0.0,-0.0010950207943096757,0.003251424990594387,0.0,0.0,SIGN_FLIP,216024288.0
Barren & Un-cultivable Land Area (in Hectares),0.0008424544357694685,0.0018764507258310914,-0.04707035422325134,0.09820359945297241,-0.00031873505213297904,0.022422902286052704,-0.00027430636691860855,0.00027430636691860855,-0.00018470485520083457,0.00018470485520083457,0.0016973132733255625,0.0026155912782996893,0.0,0.0,SIGN_FLIP,982035968.0
Fallows Land other than Current Fallows Area (in Hectares),0.0016550027066841722,0.0025609361473470926,-0.029428688809275627,0.04391339421272278,0.005217843689024448,0.009930226020514965,0.0,0.0,-4.344343324191868e-05,4.344343324191868e-05,-0.0034892733674496412,0.030683038756251335,0.0,0.0,SIGN_FLIP,439133952.0
Current Fallows Area (in Hectares),0.01359978411346674,0.020748132839798927,0.009990840218961239,0.021512437611818314,0.014825280755758286,0.01679113879799843,0.0026761956978589296,0.00268245255574584,0.000701796670909971,0.000701796670909971,0.005659040063619614,0.014087840914726257,0.0,0.0,SIGN_FLIP,215124368.0
